V,alpha,beta,eps,w,r2,rmse,ani_id
1.0,3.0,0.1,0.2,0.0004806380863064389,0.45263350828803994,1.5827901006262195,1.5473526573402854
1.0,3.0,0.1,0.2,0.0008111308307896872,0.45205788604186964,1.583622129808131,1.5603772565646674
1.0,3.0,0.1,0.2,0.0013688745095370807,0.451269576763723,1.5847608772277548,1.5662818701250127
1.0,3.0,0.1,0.2,0.002310129700083158,0.45012717592725326,1.586409674862164,1.5608669921071114
1.0,3.0,0.1,0.2,0.003898603702549072,0.4484688937723074,1.5887999861540503,1.539319449561971
1.0,3.0,0.1,0.2,0.006579332246575682,0.44622305656562944,1.592031500244444,1.4975710934008097
1.0,3.0,0.1,0.2,0.011103363181676379,0.4435562883135939,1.5958601898718192,1.434806450211453
1.0,3.0,0.1,0.2,0.01873817422860383,0.4408523973249537,1.5997328212398358,1.3559839229675181
1.0,3.0,0.1,0.2,0.03162277660168379,0.4384901596951443,1.6031084650016107,1.271676088023895
1.0,3.0,0.1,0.3,0.0001,0.46574135384640636,1.5637236379979496,1.5090727685117937
1.0,3.0,0.1,0.3,0.0001687612475788147,0.4649032683585082,1.5649496551576614,1.5221446585270313
1.0,3.0,0.1,0.3,0.0002848035868435802,0.46391816250129614,1.5663895183615382,1.5309437171655471
1.0,3.0,0.1,0.3,0.0004806380863064389,0.4627040149048845,1.568162337651761,1.5329850113332188
1.0,3.0,0.1,0.3,0.0008111308307896872,0.4611547007012372,1.5704216391602444,1.5251279207987412
1.0,3.0,0.1,0.3,0.0013688745095370807,0.4591671202552948,1.573315295563507,1.5038329854254564
1.0,3.0,0.1,0.3,0.002310129700083158,0.4567042226220398,1.5768935848908416,1.4659992701313775
1.0,3.0,0.1,0.3,0.003898603702549072,0.4538787234948858,1.5809887147837212,1.4106313504928039
1.0,3.0,0.1,0.3,0.006579332246575682,0.4509774271458868,1.5851826924367032,1.340871946357461
1.0,3.0,0.1,0.3,0.011103363181676379,0.4483493084474847,1.5889722220101914,1.2646404428850426
1.0,3.0,0.1,0.3,0.01873817422860383,0.44623452029609095,1.59201502184581,1.192141406403208
1.0,3.0,0.1,0.3,0.03162277660168379,0.4446908560242482,1.594232410378306,1.1314423976102534
1.0,3.0,0.1,0.4,0.0001,0.47154178978615063,1.5552118128981225,1.4860584968404589
1.0,3.0,0.1,0.4,0.0001687612475788147,0.4697924474755437,1.557783776026331,1.4930582410911644
1.0,3.0,0.1,0.4,0.0002848035868435802,0.4677263210306196,1.5608160308241752,1.493885034688671
1.0,3.0,0.1,0.4,0.0004806380863064389,0.46529191371075224,1.5643812337384706,1.4854879905252125
